item_number,Comment,Quantity,Designator,Description,Manufacturer,Manufacturer Part Number

"E-CAP-00090-00","100nF","5","C1, C3, C10, C11, C13","Capacitor 100nF X5R 50V 10% 0402","Murata","GRM155R61H104KE19D"
"E-CAP-00110-00","18pF","2","C2, C4","Capacitor, 18pF, 50V, 1%, C0G","Murata","GJM1555C1H180FB01D"
"E-CAP-00100-00","10uF","2","C6, C7","Capacitor 10uF X5R 16V 20% 0603","Murata","GRM188R61C106MA73D"
"E-CAP-00107-00","20pF","1","C8","Capacitor 20pF C0G 50V 1% 0402","Murata","GJM1555C1H200FB01D"
"E-CAP-00108-00","2.2uF","1","C9","Capacitor 2.2uF X5R 25V 10% 0603","Murata","GRM188R61E225KA12D"
"E-CAP-00020-00","1uF","2","C12, C14","Capacitor 1uF X5R 6.3V 20% 0402","SEM","CL05A105KQ5NNNC"
"E-DIO-00011-00","SP3118-01ETG","1","D1","Diode TVS","Littelfuse","SP3118-01ETG"
"E-IND-00043-00","10uH","1","L1","Inductor 10uH 1.1A 0.22ohm 20% 3x3","Abracon","ASPI-0315FS-100M"
"E-ICS-00097-00","ESP32-WROOM-32D","1","MOD1","Module WIFI BLE ESP32-D0WD SPI Flash","Espressif","ESP32-WROOM-32D"
"E-RES-00001-00","10k","6","R1, R2, R4, R11, R12, R13","Resistor 10K 50V 5% 0402","Vishay Dale","CRCW040210K0JNED"
"E-RES-00008-00","100","1","R6","Resistor 100R 50V 5% 0402","Panasonic","ERJ-2GEJ101X"
"E-RES-00039-00","4.7k","2","R7, R8","Resistor 4.7K 50V 5% 0402","Panasonic","ERJ-2GEJ472X"
"E-RES-00054-00","200K","2","R15, R21","Resistor 200K 50V 1% 0402","Panasonic","ERJ-2RKF2003X"
"E-RES-00093-00","680k","1","R16","Resistor 680K 50V 5% 0402","Panasonic","ERJ-2GEJ684X"
"E-RES-00006-00","0","1","R30","Resistor 0R 50V 1% 0402","Yageo","RC0402FR-070RL"
"E-ICS-00099-00","IPS6404L-SQ","1","U1","Memory SPI/QPI PSRAM 8MB SOIC8 150mil","IPUS","IPS6404L-SQ-SPN"
"E-ICS-00072-00","ATECC508A","1","U2","Afero Custom CryptoAuthentication Device","Microchip / Atmel","ATECC508A-MAHKN-T"
"E-ICS-00096-00","XC9264B755MR","1","U3","Voltage Regulator 0.5A 500KHz Buck","Torex","XC9264B755MR"
"E-XTL-00012-00","32.768kHz","1","X1","Crystal, 32.768kHz ±20ppm","Abracon","ABS06-32.768KHZ-T"
